Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,
1950.07.19,1950.07.19,1950,Provoked,ITALY,Savona,Albenga,Fishing,,,Harpooned shark bit his forehead PROVOKED INCIDENT,N,,,
1950.07.14,15-Jul-50,1950,Unprovoked,CUBA,Caribbean Sea,,Swept off deck of S.S.Frontenac enroute from West Indies to US,M,30,Found at 21h30 by searchlight. Had been constantly harassed by sharks & had numerous lacerations,N,18h15 to 21h30,,
1950.07.10,10-Jul-50,1950,Unprovoked,USA,Texas,Near Port Arthur,Swimming,M,11,Laceration to leg,N,,Hammerhead shark,
1950.07.09,9-Jul-50,1950,Invalid,USA,Texas,Galveston Bay,,M,,Human remains found in shark,,,Shark involvement prior to death was not confirmed,
1950.07.00,Jul-50,1950,Unprovoked,USA,Florida,"Rock Harbor, Key Largo, Monroe County","Goggle-diving for seaweeds, but standing in water",M,21,Shallow lacerations on back of right thigh,N,,0.7 m [2.5'] shark,
1950.06.25,25-Jun-50,1950,Unprovoked,USA,New York,"Beach 103rd Street, Rockaway ",Swimming ,M,16,"Gashes & lacerations on legs, foot lacerated.",N,,"""sand shark""",
1950.06.06,6-Jun-50,1950,Sea Disaster,USA,Florida,275 miles northeast of Miami,Survived crash of two-engine  C-46 transport plane carrying 62 migrant workers from Puerto Rico to USA ,M,25,"FATAL, bitten five times. Other survivors fought off sharks for 10 hours. One survivor's arm severed by a shark.",Y,09h00,,
1950.05.24,24-May-50,1950,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Port Edward,Treading water,M,27,Left foot bitten,N,10h30,,
1950.05.01,1-May-50,1950,Boating,ITALY,Tyrrhenian Sea,"Sprizze, Isola d'Elba",Fishing on a boat,M,,No injury,N,,"unknown, possibly a white shark",
1950.04.09.b,9-Apr-50,1950,Sea Disaster,AUSTRALIA,Queensland,Cooper's Point,"Sea Disaster, sinking of the fishing  launch Mavis",M,50,FATAL,Y,,,
1950.04.09.a,9-Apr-50,1950,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Off Port Elizabeth breakwater,"Fishing, sitting in stern of small boat, feet dangling in the water",M,,"Shark bit foot, removing 2 toes",N,,2.13 m shark,
1950.03.26,26-Mar-50,1950,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Off bank of Ntshala River, Morgan Bay",Wading,M,,"Ankle & foot lacerated, defense wounds on hand",N,Midday,1.5 m to 1.8 m [5' to 6'] “spear-eye” shark ,
1950.03.08,8-Mar-50,1950,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",Lifesaving drill,M,20,FATAL,Y,18h50,,
1950.03.01,1-Mar-50,1950,Invalid,AUSTRALIA,Western Australia,"City Beach, Perth",Suicide,M,,"Szot's right hand found in a 4.5' [14.5'] tiger shark caught 3/9/1950 at Safety Bay, south of Freemantle. His body, with bullet wound in head & right hand missing, washed shore - an apparent suicide",,,Invalid,
1950.02.18.R,Reported 18-Feb-1950,1950,Unprovoked,AUSTRALIA,Western Australia,"Cottesloe, Perth",Spearfishing,M,,Minor injury to leg,N,,small carpet shark,
1950.02.11,11-Feb-50,1950,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",Body surfing,M,14,"FATAL, body not recovered ",Y,14h30,"White shark, 3.7 m [12']  according to witnesses",
1950.01.16,16-Jan-50,1950,Invalid,USA,Hawaii,"Kahakuloa, Maui","Fishing, one of three fishermen swept into the sea by a large wave ",M,,"His remains were recovered from a “huge shark” caught 3 days later. The remains of another fisherman, Harold Fujimoto, were recovered, but the body of the third fisherman, Hideo Tamura, was never found",,Night,Shark involvement prior to death was not confirmed,
1950.01.12.R,Reported 12-Jan-1950,1950,Unprovoked,AUSTRALIA,Victoria,South Werribee Beach,Swimming,M,,3 lacerations to heel,N,,,
1950.00.00.m,1950,1950,Boating,AUSTRALIA,Tasmania,Triabunna,Sitting on side of dinghy mending a net,M,,"No injury to occupant, shark bit side of dinghy",N,,"White shark, 3.6 m,  420 kg male",
1950.00.00.l,1950,1950,Unprovoked,SRI LANKA,Eastern Province,Heda Oya Estuary,Shark fishing,M,,Buttock removed,N,,Possibly a lemon shark,
1950.00.00.k,1950,1950,Unprovoked,SRI LANKA,Southern Province,Dodnduwa,Spearfishing,M,,"No injury, but shark damaged one of his swim fins",N,,Whtietip reef shark,
1950.00.00.j,1950 - 1951,1950,Unprovoked,LIBERIA,Montserrado,Monrovia,Defecating in water beneath the docks,M,,FATAL,Y,,,
1950.00.00.i,Summer 1950,1950,Unprovoked,INDONESIA,Jakarta Harbour,On rock near Yacht Club,Bending over,M,7 or 8,FATAL,Y,1500,"Tiger shark, 3.7 m to 4.3 m  [12' to 14']",
1950.00.00.h,1950,1950,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Standing,M,,Arm bitten,N,,,
1950.00.00.g,1950s,1950,Invalid,USA,Hawaii,"Waikiki, O'ahu",Spearfishing,M,,"No injury from shark, scraped chest climbing out on reef",,,"Alleged to involve a white shark ""with little yellow eyes""",
1950.00.00.f,1950,1950,Unprovoked,PANAMA,Canal Zone,300 yards west of mouth of the Chagres River,Bathing ,M,,Foot & hand severed,N,13h00,2.7 m [9'] shark with black-tipped pectoral fins,
1950.00.00.e,Summer 1950,1950,Unprovoked,GREECE,,"Piraeus, Athens",Swimming,,,FATAL,Y,,,
1950.00.00.d,1950,1950,Unprovoked,SINGAPORE,Singapore Harbor,,Diving for coins,M,,FATAL,Y,,,
1950.00.00.c,1950,1950,Unprovoked,NEW CALEDONIA,North Province,"Voh, near meatworks","Spearfishing, but walking carrying fish on end of speargun",M,,"Shark jumped from sea, taking fish & his right arm",N,,,
1950.00.00.b,Ca. 1950,1950,Unprovoked,NEW CALEDONIA,North Province,Mangalia Reef above Touho ,"Helmet diving, collecting trochus shell",M,,"Arm bitten, surgically amputated",N,,,
1950.00.00.a,Ca. 1950,1950,Unprovoked,FIJI,,Near Lautoka,,M,,Survived,N,,,
1949.12.00.b,Dec-49,1949,Sea Disaster,,Caribbean Sea,Between  Cuba  & Costa Rica,"Sea Disaster, sinking of the motorship Wingate",M,,Fatal or drowning or scavenging,Y,,Shark involvement not confirmed,
1949.12.00.a,Dec-49,1949,Unprovoked,AUSTRALIA,Victoria,Seaholme,Lying on the bottom of a 16' dinghy,M,35,"No injury,     Shark landed on top of him, knocked him back down 3 times",N,,"Grey nurse shark, 2.6 m [8.5']  ",
1949.11.20,20-Nov-49,1949,Unprovoked,AUSTRALIA,New South Wales,"Kurnell, Botany Bay ",Free diving or wading back to shore,M,36,Left arm bitten ,N,Afternoon,6' shark,
1949.11.12,12-Nov-49,1949,Invalid,AUSTRALIA,Victoria,Port Phillip Bay,No details,M,,Fatal or drowning or scavenging,,,Shark involvement prior to death not confirmed,
1949.08.28.b,28-Aug-49,1949,Unprovoked,AUSTRALIA,Queensland,Yorkey’s Knob Beach near Cairns,Swimming,M,21,Abdomen & chest abraded,N,13h20,,
1949.08.28.a,28-Aug-49,1949,Unprovoked,AUSTRALIA,Queensland,Yorkey’s Knob Beach near Cairns,Swimming,M,34,"FATAL, right leg, thigh & fingers lacerated ",Y,13h20,,
1949.08.17,17-Aug-49,1949,Invalid,ITALY,Tuscany,Elba Island,Swimming,M,17,No injury,,,2 m shark,
1949.08.16,16-Aug-49,1949,Unprovoked,AUSTRALIA,Tasmania,Flinders Island,Swimming near shore,M,18,Hip lacerated,N,16h00,,
1949.08.10.R,Reported 10-Aug-1949,1949,Unprovoked,ITALY,Calabria,Cosenza,Swimming,M,21,Right hand severed,N,,,
1949.07.29,7-Jul-49,1949,Unprovoked,IRAN,Shatt-el-Arab River,,Swimming,M,18,Right leg lacerated,N,,,
1949.07.28,28-Jul-49,1949,Unprovoked,IRAN,Shatt-al-Arab River,Bashamir,Swimming,M,18,"FATAL, thigh lacerated, femur exposed ",Y,,,
1949.07.25,25-Jul-49,1949,Unprovoked,USA,South Carolina,"Oketee River, Jasper County",Floating on his back,M,16,"Abdomen abraded, thigh lacerated",N,15h00,,
1949.07.16,16-Jul-49,1949,Provoked,USA,California,"10 miles off Redondo Beach, Los Angeles County",Fishing,M,16,Right hand bitten by hooked shark being pulled onboard PROVOKED INCIDENT,N,,"Bonita sharkk, 200-lb",
1949.06.13,13-Jun-49,1949,Sea Disaster,CHINA,,Between Tientsin & Hong Kong,"A 75-ton  Japanese fishing ship was sunk by  Chinese Nationalist gunboat, shipwrecked men were clinging to debris",M,,"FATAL, at time of sinking several men were thrown in water & killed by sharks, survivors were rescued 3 days later by the Panamanian ship Christobel",Y,,,
1949.05.16,16-May-49,1949,Unprovoked,AUSTRALIA,Western Australia,Broome,Bathing,F,22,"Left arm severed above elbow, recovered 5 days afterwards from shark’s gut",N,,"Whaler shark, 2.7 m [9'], 350- to 450-lb  identified by G.P. Whitley",
1949.05.13,13-May-49,1949,Provoked,AUSTRALIA,New South Wales,Nelson's Bay,"Examining netted shark, that had been shot",M,26,Lacerations to right hand PROVOKED INCIDENT,N,,,
1949.04.18,18-Apr-49,1949,Provoked,AUSTRALIA,Queensland,"Nerang River, Southpot",Fishing,M,,Toe bitten by netted shark PROVOKED INCIDENT,N,,3' shark,
1949.04.17,17-Apr-49,1949,Unprovoked,AUSTRALIA,Queensland,"Ellis Beach, 20 miles from Cairns",Bathing in water 0.9 m deep,M,13,"FATAL, left leg severed",Y,13h30,"3.3 m [10'9""] shark",
1949.04.13,13-Apr-49,1949,Unprovoked,MEXICO,Tamaulipas,"Miramar Beach, Tampico",Bathing,M,,"U.S. destroyer John W. Weeks, 6 miles offshore, demonstrating guns & bombs for Mexican officials was thought to have driven the shark into the shallows where it bit the bather before other bathers drove it away with sticks & clubs.",N,,,
1949.03.00,Mar-1949 or Apr-1949,1949,Boating,AUSTRALIA,South Australia,18 miles south of Port Augusta,,,,,UNKNOWN,,,
1949.01.23,23-Jan-49,1949,Unprovoked,AUSTRALIA,New South Wales,"Bar Beach, Newcastle ",Lifesaving exhibition,M,20,FATAL,Y,15h00,"White shark, 3.6 m [11'9""] ",
1949.01.14,14-Jan-49,1949,Invalid,AUSTRALIA,New South Wales,Off North Bondi,Surfing,M,32,"No injury, chased by 3 sharks",,Afternoon,Invalid,
1949.01.13,13-Jan-49,1949,Unprovoked,AUSTRALIA,New South Wales,"Mona Vale, near Sydney",Surf skiing,M,,"No injury, shark bumped ski",N,,,
1949.01.05,5-Jan-49,1949,Invalid,AUSTRALIA,Western Australia,"Leighton Beach, North Fremantle",,,,Human hand recovered from 2.4 m [8'] tiger shark,,,Shark involvement prior to death not confirmed,
1949.00.00.g,1949-1950,1949,Boating,ITALY,Tyrrhenian Sea,San Vincenzo,"Fishing, on a boat",M,,No injury to occupant,N,,White shark,
1949.00.00.f,1949,1949,Unprovoked,NEW GUINEA,Calvados Archipelago,"Sabara Island, Calvados Chain 11.4S, 153E",,,,FATAL,Y,,,
1949.00.00.e,1949,1949,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,"Kulengei, southeast of Kalili, Kavieng",,M,,"Leg bitten, surgically amputated",N,,,
1949.00.00.d,1949,1949,Unprovoked,PAPUA NEW GUINEA,New Ireland Province,"Enang , Kavieng",,M,,Hand & shoulder bitten,N,,,
1949.00.00.c,1949,1949,Unprovoked,PAPUA NEW GUINEA,Bougainville (North Solomons),"Orava (Aravo) Islet , near Kieta. ",Spearfishing,M,18,"FATAL, ""Nearly bitten in two through loin"".",Y,,,
1949.00.00.b,1949,1949,Unprovoked,PAPUA NEW GUINEA,Bougainville (North Solomons),"Sohano Island, Buka Passage",Swimming close to wharf,M,,Hand severed,N,,,
1949.00.00.a,1949,1949,Unprovoked,NEW GUINEA,"Abau Sub District, Central Province",Kerpuna ,Swimming ,M,,"FATAL. One man's abdomen removed, the other received severe multiple injuries.",Y,,,
1948.12.27,27-Dec-48,1948,Unprovoked,AUSTRALIA,Western Australia,Lancelin Island,Swimming,M,17,"FATAL, disappeared while swimming  ",Y,,His hand was found in a 2.4 m [8'] tiger shark caught 1/5/1949,
1948.12.26,26-Dec-48,1948,Unprovoked,AUSTRALIA,Queensland,"King’s Beach, Caloundra","Treading water, waiting for a wave",M,28,"FATAL, left hand severed, left leg arm bitten, tissue removed hip to knee  ",Y,11h30,,
1948.12.14.b,14-Dec-48,1948,Unprovoked,IRAN,Shat-Al-Arab River,Abadan,,M,19,Left thumb severed,N,,,
1948.12.14.a,14-Dec-48,1948,Unprovoked,CUBA,Guantanamo Province,10 miles off Cape Maisi,"2 messboys (Jeppsen) & Tony Latona (13) were playing on the afterdeck of the Danish ship Grete Maersk. Jeppsen fell overboard, Latona threw a lifebelt then jumped in to help him. Ship didn’t notice they were missing",M,14,"2 hours later shark bit Jeppsen’s feet, arm, knee & finally killed him. Tony, clothing torn but alive, washed ashore on Cuban coast",N,,,
1948.12.10,10-Dec-48,1948,Unprovoked,AUSTRALIA,Queensland,Rib Reef off Townsville,Fishing,M,,Hand injured,N,,,
1948.12.05,5-Dec-48,1948,Sea Disaster,NORTH PACIFIC OCEAN,Between Kwajalein Atoll & Johnston Island,500 nautical miles southwest of Johnston Island,Air/Sea Disaster involving C-54 Air Force Transport No. 2686 with 37 on board,M,,"32 survived, 5 perished; sharks fed on the dead but did not bite the survivors",Y,Dark,,
1948.11.18, 18-Nov-1948,1948,Unprovoked,AUSTRALIA,Torres Strait,"Saibai Island, 80 miles north of Cape York",Pearl diving,M,41,Leg bitten,N,,,
1948.09.22,22-Sep-48,1948,Unprovoked,GREECE,Attica,Keratsini ,Swimming,M,17,FATAL,Y,16h00,Said to be 6.4 m [21'] shark,
1948.09.19.b,19-Sep-48,1948,Unprovoked,USA,Hawaii,"Off Makapauu Point, O'ahu",Swimming,M,,Leg bitten,N,,,
1948.09.19.a,19-Sep-48,1948,Unprovoked,USA,Hawaii,"Off Makapauu Point, O'ahu",Fishing,M,,Survived,N,,,
1948.09.17.R,Reported 17-Sep-1848,1848,Unprovoked,TURKEY,Adana Province,Yumurtalik,Swimming,M,,FATAL,Y,,,
1948.09.15,15-Sep-48,1948,Sea Disaster,MID ATLANTIC OCEAN,,Bound from New York to London in ballast,Leicester abandoned in a hurricane,M,,"FATAL, 2 men killed by sharks, 20 survived",Y,,,
1948.09.02,2-Sep-48,1948,Unprovoked,IRAN,Bandar Ma’shur sea inlet,,Bathing or washing,F,60,"FATAL, left arm & left buttock severed ",Y,,,
1948.08.19,19-Aug-48,1948,Unprovoked,IRAN,Shatt-al-Arab River,,,M,13,"FATAL, right arm  severely bitten & surgically amputated, died 12 to 14 hours later   ",Y,,,
1948.08.03,3-Aug-48,1948,Unprovoked,IRAN,Shatt-al-Arab River,Bashamir,Swimming,M,15,"Quadriceps lacerated, femur exposed",N,,,
1948.08.00,Aug-48,1948,Provoked,BAHAMAS,Bimini Islands,Lerner Marine Laboratory,Spearing a shark,M,41,Shark that he speared bit his calf     PROVOKED INCIDENT,N,,"Lemon shark, 4'",
1948.07.01,1-Jul-48,1948,Unprovoked,USA,US Virgin Islands,"St. John, Genti Bay",Swimming,M,46,FATAL,Y,,,
1948.06.06.R,Reported 06-Jun-1948,1948,Unprovoked,NORTHERN MARIANA ISLANDS,Saipan,,Swimming,M,,Heel bitten,N,,,
1948.05.10,10-May-48,1948,Provoked,IRAN,Shatt-al-Arab River,,"Fishing, shark caught in his net",M,38,"8"" x 4"" left antecubital fossa of muscle & skin removed  PROVOKED INCIDENT",N,,,
1948.04.10,10-Apr-48,1948,Provoked,SOUTH AFRICA,Western Cape Province,Gansbaai,"Bringing hooked, harpooned shark onboard boat",M,,Groenwald's arm lacerated by the shark PROVOKED INCIDENT,N,,,
1948.03.13.R,"Reported 13-Mar-1948 ""Bitten last weekend",1948,Unprovoked,KENYA,Coast Province,Mombasa,,M,,FATAL,Y,,,
1948.03.11,11-Mar-48,1948,Invalid,SENEGAL,Cap Vert Peninsula,Between Joal & Sangomar near Dakar,,,,Fragment of human foot recovered from 300-kg [662-lb] tiger shark,,,Shark involvement prior to death not confirmed,
1948.03.00,Mar-48,1948,Provoked,PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago","Punam Passage, Rataman census div, Namatanai",Spearfishing,M,30,Leg bitten by shark that he had speared  PROVOKED INCIDENT,N,,"""grey shark""",
1948.02.13,13-Feb-48,1948,Sea Disaster,USA,Texas,"Gulf of Mexico between Brownsville & Carmen, Mexico","C47 aircraft carrying 5,000 lbs of ice ditched in the sea",M,,"FATAL. Womack was injured when plane went down, 3 days later he fell off liferaft & was taken by a shark  ",Y,,,
1948.02.12,12-Feb-48,1948,Unprovoked,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",Swimming,M,16,"FATAL, right thigh & leg bitten ",Y,,3.7 m [12'] shark,
1948.01.25,25-Jan-48,1948,Unprovoked,AUSTRALIA,New South Wales,"Mona Vale, near Sydney",Surf skiing,M,,"No injury, ski bitten",N,,6' shark,
1948.00.00.d,Summer 1948,1948,Provoked,USA,Florida,Biscayne Bay,Underwater photography,M,48,Grabbed shark by the tail & it bit him PROVOKED INCIDENT,N,Afternoon,Nurse shark,
1948.00.00.c,1948,1948,Unprovoked,NEW GUINEA,Morobe Province,Finschafen  ,"Fishing, holding fish in right hand",M,,Right hand bitten,N,,,
1948.00.00.b,1948,1948,Provoked,PAPUA NEW GUINEA,Bougainville (North Solomons),"Tung Island, off the west coast of Buka Island",Spearfishing,M,,Bitten on face while taking shark off spear PROVOKED INCIDENT,N,,,
1948.00.00.a,1948,1948,Boating,SOUTH AFRICA,Western Cape Province,False Bay,Fishing,,,"No injury to occupants, boat holed by shark",N,,,
1947.12.21,21-Dec-47,1947,Unprovoked,AUSTRALIA,New South Wales,"Watson Taylor's Lake, 25 miles south of Port Macquarie",Fishing,M,9,Leg gashed,N,P.M.,Grey nurse shark,
1947.12.15.R,Reported 15-Dec-1947,1947,Invalid,SOUTH AFRICA,KwaZulu-Natal,Durban,,,,"Human remains, possibly one of the crew of the wrecked fishing boat John Bull. found in 277-kg tiger shark.",,,Shark involvement prior to death not confirmed,
1947.12.00,Dec-47,1947,Unprovoked,SENEGAL,,"Tiaroye, near Dakar, Cap Vert Peninsula",Fishing / diving,M,,"FATAL, right thigh bitten ",Y,11h00,Tiger shark,
1947.11.23,23-Nov-47,1947,Boating,AUSTRALIA,South Australia,3 miles out to sea off Glenelg,Fishing,,,"No injury to occupants, shark made 20 to 30 rushes at dinghy",N,,5.5 m [18'] shark,
1947.11.14.b,14-Nov-47,1947,Unprovoked,AUSTRALIA,New South Wales,"Knobby's Beach, Newcastle",Fishing from surf ski,M,17,"No injury, ski bumped",N,Dusk,,
1947.11.14.a,14-Nov-47,1947,Unprovoked,AUSTRALIA,New South Wales,"Knobby's Beach, Newcastle",Fishing from surf ski,M,16,"No injury, ski bumped",N,Dusk,,
1947.11.08.b,8-Nov-47,1947,Unprovoked,AUSTRALIA,New South Wales,"Maria River, Port Macquarie, 12 miles from river mouth",Swimming,M,12,"FATAL, leg severed at knee  ",Y,16h00,,
1947.11.08.a,8-Nov-47,1947,Unprovoked,AUSTRALIA,New South Wales,"Maria River, Port Macquarie, 12 miles from river mouth",Swimming,M,13,Thighs & knee lacerated,N,16h00,,
1947.11.00,Nov-47,1947,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,,M,78,FATAL,Y,,,
1947.10.28,28-Oct-47,1947,Unprovoked,AUSTRALIA,Northern Territory,"Mornington Island, Gulf of Carpentaria",Fishing in waist-deep water,M,,Kneecap removed,N,,,
1947.10.10,10-Oct-47,1947,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming ,M,25,FATAL,Y,,,
1947.08.04,4-Aug-47,1947,Unprovoked,USA,Florida,In a canal 10 miles north of St Augustine,Swimming,M,20,"FATAL, calf bitten, leg surgically amputated  ",Y,A.M.,Possibly C. leucas,
1947.07.27.R,Reported 27-Jul-1947,1947,Provoked,USA,California,"Santa Monica, Los Angeles County",Fishing,M,46,PROVOKED INCIDENT,N,,a small shark,
1947.07.24.R,Reported 24-Jul-1947,1947,Unprovoked,AUSTRALIA,Northern Territory,Darwin Harbour,Diving,M,,Suit ripped,N,,"Most likely, a small shark",
1947.07.15,15-Jul-47,1947,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",Swimming,M,20,Right thigh lacerated,N,Morning,,
1947.07.00,Jul-47,1947,Invalid,GREECE,Carpathian Sea,Dodecanese Islands,Jumped overboard ,M,,Shark involvement  unconfirmed,,,Questionable,
1947.06.27,27-Jun-47,1947,Unprovoked,USA,Hawaii,"Off Waianae, O'ahu",Fishing,M,35,"Left forearm, arm & leg lacerated",N,10h30,,
1947.06.16,16-Jun-47,1947,Boating,AUSTRALIA,New South Wales,Coogee,Fishing,,,"No injury to occupants, shark bumped & lifted dinghy",N,,"Tiger shark, 14' ",
1947.05.13.R,Reported 13-May-1947,1947,Unprovoked,KENYA,Coast Province,"Kilindini Harbor, Mombasa",Swimming,M,,Knee grazed,N,,,
1947.04.20,20-Apr-47,1947,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",Treading water,M,21,Ankle & shin lacerated,N,12h00,"1.5 m, 45-kg shark",
1947.04.11,11-Apr-47,1947,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Rocket Hut Beach, Durban",Body surfing,M,14,"Thigh severely lacerated, shin & calf lacerated",N,17h30,,
1947.04.06,6-Apr-47,1947,Unprovoked,AUSTRALIA,New South Wales,Palm Beach,Surfing,M,17,"No injury, board scraped by shark",N,,,
1947.04.00,Apr-47,1947,Provoked,PACIFIC OCEAN,,Off Central American coast at 8N.79W,"Moving shark from tuna vessel when boat rolled, placing both man & shark in chest-deep water",M,29,"Right arm punctured, finger lacerated PROVOKED INCIDENT",N,11h00,,
1947.03.12,12-Mar-47,1947,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",Wading,M,18,"Hip abraded, right calf severely lacerated",N,16h10,,
1947.03.09,9-Mar-47,1947,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",Treading water,M,22,Lacerations on buttock  &  right foot ,N,12h00,"Blacktip shark, 2 m [6.75'] ",
1947.02.23,23-Feb-47,1947,Boating,AUSTRALIA,Queensland,Palm Beach,Fishing,,,"No injury, shark holed boat",N,,,
1947.02.06.R,Reported 06-Feb-1947,1947,Provoked,BAHAMAS,New Providence Island,Cable Beach,Attempting to ride a shark,M,,Arm bitten PROVOKED INCIDENT,N,,5' shark,
1947.02.00,Feb-47,1947,Unprovoked,BRAZIL,Rio de Janeiro,Copacabana,Bathing,,,FATAL,Y,,,
1947.01.14,14-Jan-47,1947,Boating,AUSTRALIA,New South Wales,"Berry's Bay, Sydney Harbour",Rowing,,17 & 16,"No injury, shark lifted the boat 0.5 m out of the water",N,,"4.5  m [14'9""] shark",
1947.01.05,5-Jan-47,1947,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",Treading water,M,18,Flexed left leg lacerated,N,15h50,>1.6 m shark,
1946.12.28,28-Dec-46,1946,Unprovoked,AUSTRALIA,South Australia,Glenelg,Swimming near jetty with 2' piece of wood,M,23,"Forearm & fingers lacerated, teethmarks on wood",N,,,
1946.12.24.R,Reported 24-Dec-1946,1946,Boating,AUSTRALIA,Queensland,"Auckland Creek, Gladstone",,,,Shark jumped into cockpit,N,,7' shark,
1946.11.20,20-Nov-46,1946,Unprovoked,AUSTRALIA,Torres Strait,40 miles off Thursday Island,Pearl diving from lugger,M,30,"FATAL, right arm severed",Y,,,
1946.10.26.R,Reported 26-Oct-1946,1946,Unprovoked,MARSHALL ISLANDS,Kwajalein,,Fishing,M,,FATAL,Y,,,
1946.10.14,14-Oct-46,1946,Unprovoked,AUSTRALIA,New South Wales,"Mark’s Point, Swan Bay, Lake Macquarie",Swimming,M,15,Left leg lacerated,N,,,
1946.08.24,24-Aug-46,1946,Unprovoked,ISRAEL,Gaza,Jura Village,Fishing,M,15,Laceration to back,N,,,
1946.08.18,18-Aug-46,1946,Unprovoked,AUSTRALIA,Queensland,"Ellis Beach, 20 miles from Cairns",Swimming after a tennis ball,M,30,"FATAL, body not recovered",Y,15h20,4.3 m [14'] shark,
1946.07.18.b,18-Jul-46,1946,Unprovoked,IRAN,Khuzestan Province,"Dorquain, on the Karun River","Fishing, probably with a net",M,12,Radius & ulna bared,N,,,
1946.07.18.a,18-Jul-46,1946,Unprovoked,IRAN,Khuzestan Province,"Ahvaz, on the Karun River, 275 km from the sea",Swimming ,M,12,"Left Achilles tendon severed, calf muscles severely lacerated",N,,Possibly C. leucas,
1946.06.28,28-Jun-46,1946,Unprovoked,INDIA,,Chennai,Bathing,M,14,"""Serious injuries""",N,,,
1946.05.09,9-May-46,1946,Unprovoked,TANZANIA,Dar-es-Salaam ,Dar-es-Salaam harbor,Swimming ,M,,Leg bitten,N,,,
1946.04.19,19-Apr-46,1946,Unprovoked,AUSTRALIA,Queensland,"Trinity Beach, Cairns",Swimming,M,17,FATAL,Y,13h30,,
1946.04.00,Apr-46,1946,Boating,AUSTRALIA,South Australia,Port Newby,Fishing,,,"No injury to occupants. Shark charged boat, tore off rudder & tossed it air, then swam off with it",N,,6 m [20']  shark,
1946.03.20,20-Mar-46,1946,Boating,AUSTRALIA,South Australia,Grange,Fishing,M,28,"No injury; shark rammed boat, catapulting Leverenz in the sea & damaging boat",N,19h00,,
1946.02.16,16-Feb-46,1946,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",Treading water,M,21,Right arm severely lacerated,N,16h00,,
1946.02.10.b,10-Feb-46,1946,Unprovoked,AUSTRALIA,Western Australia,"City Beach, Perth",Standing,M,18,"Leg bitten, surgically amputated",N,12h15,"White shark, 4.2 m [13'9""] ",
1946.02.10.a,10-Feb-46,1946,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Battery Beach, Durban",Swimming ,M,18,Flexed right  knee bitten,N,09h15,,
1946.01.24.b,24-Jan-46,1946,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Battery Beach, Durban",Treading water,M,15,Knee & calf lacerated,N,17h15,,
1946.01.24.a,24-Jan-46,1946,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Battery Beach, Durban",Swimming,M,,Foot severely lacerated,N,Afternoon,,
1946.01.17,17-Jan-46,1946,Unprovoked,AUSTRALIA,Queensland,Townsville,,M,12,Ankle bitten,N,,small shark,
1946.01.07,7-Jan-46,1946,Unprovoked,SOUTH AFRICA,Western Cape Province,False Bay,Jumping in swells,M,18,Foot bitten,N,12h00,1.5 m [5'] shark,
1946.01.05,5-Jan-46,1946,Unprovoked,AUSTRALIA,New South Wales,"Oatley Bay near Como, George’s River",Swimming,F,14,"FATAL, left leg severed, right leg injured  ",Y,,,
1946.01.01,1-Jan-46,1946,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Pollock Beach, Port Elizabeth",Body surfing,M,24,Calf lacerated,N,A.M.,,
1946.00.00.c,1946,1946,Boating,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,,,,"No injury to occupants, shark struck boats+K1581",N,,,
1946.00.00.b,1946,1946,Boating,SOUTH AFRICA,Western Cape Province,Table Bay,,,,"Shark holed and sank boat, occupants rescued",N,,,
1946.00.00.a,1946,1946,Unprovoked,PERSIAN GULF,"""Head of the Gulf""",,Bitten after dhow shipwrecked,F,,"Abdomen bitten, but she survived. Most of the 40 others that survived the wreck, were taken by sharks",N,,,
1945.09.23,23-Sep-45,1945,Unprovoked,HONG KONG,,Tweed Beach,Bathing,M,,FATAL,Y,"""shortly before dusk""",,
